species,GF,Reg1,Reg2,Reg3
Boiga_irregularis,-0.462169254,1,1,4
Dispholidus_typus,-0.404661486,3,2,4
Hypsiglena_torquata,-0.463092209,3,2,4
Opheodrys_aestivus,-0.399213836,7,4,4
Pantherophis_guttatus,-0.399284019,5,3,4
Phalotris_mertensi,-0.609558762,2,1,4
Philodryas_olfersii,-0.539435104,3,2,4
Thamnodynastes_strigatus,-0.347029762,3,2,4
Agkistrodon_piscivorus,-0.555961591,3,2,2
Atropoides_picadoi,-0.462264075,3,2,2
Bothriechis_lateralis,-0.45813357,3,2,2
Bothriechis_schlegelii,-0.208294348,3,2,2
Bothrops_alternatus,-0.384774302,3,2,2
Bothrops_asper,-0.603132172,3,2,2
Bothrops_atrox,-0.42583897,3,2,2
Bothrops_colombiensis,-0.423308801,3,2,2
Bothrops_insularis,-0.282712808,3,2,2
Bothrops_jararaca,-0.325799169,3,2,2
Bothrops_jararacussu,-0.535408592,4,2,2
Bothrops_moojeni,-0.425565648,3,2,2
Bothrops_neuwiedi,-0.681722879,3,2,2
Cerrophidion_godmani,-0.481264314,3,2,2
Crotalus_adamanteus,-0.654661809,5,3,2
Crotalus_durissus,-0.199120618,5,3,2
Crotalus_horridus,-0.223619452,5,3,2
Crotalus_simus,-0.900691872,4,3,2
Crotalus_scutulatus,-0.601151125,5,3,2
Gloydius_intermedius,1.349473949,4,3,2
Lachesis_muta,-0.409662437,4,3,2
Ovophis_okinavensis,-0.460589809,5,3,2
Protobothrops_elegans,-0.339426699,5,3,2
Protobothrops_mucrosquamatus,-0.448896787,5,3,2
Protobothrops_flavoviridis,-0.651847915,5,3,2
Sistrurus_catenatus,0.079914355,5,3,2
Bungarus_flaviceps,-0.612242656,7,4,3
Bungarus_multicinctus,-0.473210272,7,4,3
Drysdalia_coronoides,-0.282532123,7,4,3
Micrurus_altirostris,-0.359161832,7,4,3
Micrurus_corallinus,-0.575631106,6,4,3
Micrurus_fulvius,-0.396332642,6,4,3
Micrurus_lemniscatus,-0.389184624,7,4,3
Micrurus_spixii,-0.454790159,7,4,3
Micrurus_surinamensis,-0.101480746,7,4,3
Naja_atra,-0.324668291,7,4,3
Naja_kaouthia,-0.368572056,7,4,3
Ophiophagus_hannah,-0.562419106,1,1,3
Pseudonaja_textilis,-0.491651278,5,3,3
Bitis_gabonica,-0.310359147,3,2,1
Echis_carinatus,-0.438880858,3,2,1
Echis_coloratus,-0.419808798,3,2,1
Echis_ocellatus,-0.310940604,3,2,1
Echis_pyramidum,-0.546444401,3,2,1