species,LAAO,Reg1,Reg2,Reg3
Boiga_irregularis,-0.463327573,1,1,4
Dispholidus_typus,-0.408989879,3,2,4
Hypsiglena_torquata,-0.463654083,3,2,4
Opheodrys_aestivus,-0.399213836,7,4,4
Pantherophis_guttatus,-0.399284019,5,3,4
Phalotris_mertensi,-0.459411318,2,1,4
Philodryas_olfersii,-0.539435104,3,2,4
Thamnodynastes_strigatus,-0.347029762,3,2,4
Agkistrodon_piscivorus,-0.555961591,3,2,2
Atropoides_picadoi,-0.318364164,3,2,2
Bothriechis_lateralis,-0.348104493,3,2,2
Bothriechis_schlegelii,-0.411566673,3,2,2
Bothrops_alternatus,-0.423417345,3,2,2
Bothrops_asper,-0.291282471,3,2,2
Bothrops_atrox,-0.404809885,3,2,2
Bothrops_colombiensis,-0.423308801,3,2,2
Bothrops_insularis,-0.402697024,3,2,2
Bothrops_jararaca,-0.239964336,3,2,2
Bothrops_jararacussu,-0.442200811,4,2,2
Bothrops_moojeni,-0.337841517,3,2,2
Bothrops_neuwiedi,-0.486637693,3,2,2
Cerrophidion_godmani,-0.100295794,3,2,2
Crotalus_adamanteus,-0.092648244,5,3,2
Crotalus_durissus,-0.343935613,5,3,2
Crotalus_horridus,-0.378251319,5,3,2
Crotalus_simus,-0.230245425,4,3,2
Crotalus_scutulatus,-0.723025233,5,3,2
Gloydius_intermedius,-0.585142053,4,3,2
Lachesis_muta,-0.258593859,4,3,2
Ovophis_okinavensis,0.011750916,5,3,2
Protobothrops_elegans,-0.343571052,5,3,2
Protobothrops_mucrosquamatus,-0.409571651,5,3,2
Protobothrops_flavoviridis,0.019517693,5,3,2
Sistrurus_catenatus,-0.270929154,5,3,2
Bungarus_flaviceps,-0.612242656,7,4,3
Bungarus_multicinctus,-0.478165354,7,4,3
Drysdalia_coronoides,-0.334277933,7,4,3
Micrurus_altirostris,-0.359161832,7,4,3
Micrurus_corallinus,-0.646133988,6,4,3
Micrurus_fulvius,-0.430927124,6,4,3
Micrurus_lemniscatus,-0.422109758,7,4,3
Micrurus_spixii,-0.454790159,7,4,3
Micrurus_surinamensis,-0.505966472,7,4,3
Naja_atra,-0.324668291,7,4,3
Naja_kaouthia,-0.372459947,7,4,3
Ophiophagus_hannah,-0.21620634,1,1,3
Pseudonaja_textilis,-0.563339519,5,3,3
Bitis_gabonica,-0.128998329,3,2,1
Echis_carinatus,-0.410097725,3,2,1
Echis_coloratus,-0.257771998,3,2,1
Echis_ocellatus,-0.376103195,3,2,1
Echis_pyramidum,-0.424255936,3,2,1