species,SVSP,Reg1,Reg2,Reg3
Boiga_irregularis,-0.463327573,1,1,4
Dispholidus_typus,-0.196308172,3,2,4
Hypsiglena_torquata,-0.463654083,3,2,4
Opheodrys_aestivus,-0.399213836,7,4,4
Pantherophis_guttatus,-0.399284019,5,3,4
Phalotris_mertensi,-0.599651816,2,1,4
Philodryas_olfersii,-0.065788923,3,2,4
Thamnodynastes_strigatus,-0.323558544,3,2,4
Agkistrodon_piscivorus,-0.065786707,3,2,2
Atropoides_picadoi,0.068901152,3,2,2
Bothriechis_lateralis,0.063071096,3,2,2
Bothriechis_schlegelii,1.30629117,3,2,2
Bothrops_alternatus,-0.272798588,3,2,2
Bothrops_asper,0.297477307,3,2,2
Bothrops_atrox,-0.091682733,3,2,2
Bothrops_colombiensis,0.222783197,3,2,2
Bothrops_insularis,0.093272473,3,2,2
Bothrops_jararaca,1.13186312,3,2,2
Bothrops_jararacussu,-0.453846945,4,2,2
Bothrops_moojeni,1.11791987,3,2,2
Bothrops_neuwiedi,-0.351479006,3,2,2
Cerrophidion_godmani,1.301684098,3,2,2
Crotalus_adamanteus,1.174566834,5,3,2
Crotalus_durissus,-0.26328121,5,3,2
Crotalus_horridus,2.604500193,5,3,2
Crotalus_simus,2.268008945,4,3,2
Crotalus_scutulatus,0.378206741,5,3,2
Gloydius_intermedius,1.79412254,4,3,2
Lachesis_muta,-0.284773794,4,3,2
Ovophis_okinavensis,2.842844084,5,3,2
Protobothrops_elegans,0.02381373,5,3,2
Protobothrops_mucrosquamatus,1.199064792,5,3,2
Protobothrops_flavoviridis,0.095307031,5,3,2
Sistrurus_catenatus,2.149960947,5,3,2
Bungarus_flaviceps,-0.612242656,7,4,3
Bungarus_multicinctus,-0.478787643,7,4,3
Drysdalia_coronoides,-0.028433826,7,4,3
Micrurus_altirostris,-0.359161832,7,4,3
Micrurus_corallinus,-0.699934584,6,4,3
Micrurus_fulvius,-0.473209269,6,4,3
Micrurus_lemniscatus,-0.4527582,7,4,3
Micrurus_spixii,-0.454790159,7,4,3
Micrurus_surinamensis,-0.505966472,7,4,3
Naja_atra,-0.327981232,7,4,3
Naja_kaouthia,-0.380235729,7,4,3
Ophiophagus_hannah,-0.576323477,1,1,3
Pseudonaja_textilis,2.538965324,5,3,3
Bitis_gabonica,0.549678091,3,2,1
Echis_carinatus,-0.254442424,3,2,1
Echis_coloratus,-0.259222055,3,2,1
Echis_ocellatus,-0.335892953,3,2,1
Echis_pyramidum,-0.478528704,3,2,1